eps,mu,Type,avgFailRate,pctAllFail
0,0.0,ggnull,0,0
0,0.0,ghc,0,0
19,2.444,ggnull,0,0
19,2.444,ghc,0,0
19,2.556,ggnull,0,0
19,2.556,ghc,0,0
23,2.444,ggnull,0,0
23,2.444,ghc,0,0
23,2.556,ggnull,0,0
23,2.556,ghc,0,0
19,2.333,ggnull,0,0
19,2.333,ghc,0,0
19,2.667,ggnull,0,0
19,2.667,ghc,0,0
23,2.333,ggnull,0,0
23,2.333,ghc,0,0
23,2.667,ggnull,0,0
23,2.667,ghc,0,0
19,2.222,ggnull,0,0
19,2.222,ghc,0,0
19,2.778,ggnull,0,0
19,2.778,ghc,0,0
23,2.222,ggnull,0,0
23,2.222,ghc,0,0
23,2.778,ggnull,0,0
23,2.778,ghc,0,0
19,2.111,ggnull,0,0
19,2.111,ghc,0,0
19,2.889,ggnull,0,0
19,2.889,ghc,0,0
23,2.111,ggnull,0,0
23,2.111,ghc,0,0
23,2.889,ggnull,0,0
23,2.889,ghc,0,0
19,2.0,ggnull,0,0
19,2.0,ghc,0,0
19,3.0,ggnull,0,0
19,3.0,ghc,0,0
23,2.0,ggnull,0,0
23,2.0,ghc,0,0
15,2.444,ggnull,0,0
15,2.444,ghc,0,0
15,2.556,ggnull,0,0
15,2.556,ghc,0,0
27,2.444,ggnull,0,0
27,2.444,ghc,0,0
27,2.556,ggnull,0,0
27,2.556,ghc,0,0
15,2.333,ggnull,0,0
15,2.333,ghc,0,0
15,2.667,ggnull,0,0
15,2.667,ghc,0,0
27,2.333,ggnull,0,0
27,2.333,ghc,0,0
27,2.667,ggnull,0,0
27,2.667,ghc,0,0
15,2.222,ggnull,0,0
15,2.222,ghc,0,0
15,2.778,ggnull,0,0
15,2.778,ghc,0,0
27,2.222,ggnull,0,0
27,2.222,ghc,0,0
27,2.778,ggnull,0,0
27,2.778,ghc,0,0
15,2.111,ggnull,0,0
15,2.111,ghc,0,0
15,2.889,ggnull,0,0
15,2.889,ghc,0,0
27,2.111,ggnull,0,0
27,2.111,ghc,0,0
15,2.0,ggnull,0,0
15,2.0,ghc,0,0
15,3.0,ggnull,0,0
15,3.0,ghc,0,0
27,2.0,ggnull,0,0
27,2.0,ghc,0,0
10,2.444,ggnull,0,0
10,2.444,ghc,0,0
10,2.556,ggnull,0,0
10,2.556,ghc,0,0
32,2.444,ggnull,0,0
32,2.444,ghc,0,0
32,2.556,ggnull,0,0
32,2.556,ghc,0,0
10,2.333,ggnull,0,0
10,2.333,ghc,0,0
10,2.667,ggnull,0,0
10,2.667,ghc,0,0
32,2.333,ggnull,0,0
32,2.333,ghc,0,0
32,2.667,ggnull,0,0
32,2.667,ghc,0,0
10,2.222,ggnull,0,0
10,2.222,ghc,0,0
10,2.778,ggnull,0,0
10,2.778,ghc,0,0
32,2.222,ggnull,0,0
32,2.222,ghc,0,0
10,2.111,ggnull,0,0
10,2.111,ghc,0,0
10,2.889,ggnull,0,0
10,2.889,ghc,0,0
32,2.111,ggnull,0,0
32,2.111,ghc,0,0
10,3.0,ggnull,0,0
10,3.0,ghc,0,0
32,2.0,ggnull,0,0
32,2.0,ghc,0,0
6,2.444,ggnull,0,0
6,2.444,ghc,0,0
6,2.556,ggnull,0,0
6,2.556,ghc,0,0
36,2.444,ggnull,0,0
36,2.444,ghc,0,0
36,2.556,ggnull,0,0
36,2.556,ghc,0,0
6,2.333,ggnull,0,0
6,2.333,ghc,0,0
6,2.667,ggnull,0,0
6,2.667,ghc,0,0
36,2.333,ggnull,0,0
36,2.333,ghc,0,0
6,2.222,ggnull,0,0
6,2.222,ghc,0,0
6,2.778,ggnull,0,0
6,2.778,ghc,0,0
36,2.222,ggnull,0,0
36,2.222,ghc,0,0
6,2.889,ggnull,0,0
6,2.889,ghc,0,0
36,2.111,ggnull,0,0
36,2.111,ghc,0,0
6,3.0,ggnull,0,0
6,3.0,ghc,0,0
36,2.0,ggnull,0,0
36,2.0,ghc,0,0
2,2.556,ggnull,0,0
2,2.556,ghc,0,0
40,2.444,ggnull,0,0
40,2.444,ghc,0,0
2,2.667,ggnull,0,0
2,2.667,ghc,0,0
40,2.333,ggnull,0,0
40,2.333,ghc,0,0
2,2.778,ggnull,0,0
2,2.778,ghc,0,0
40,2.222,ggnull,0,0
40,2.222,ghc,0,0
2,2.889,ggnull,0,0
2,2.889,ghc,0,0
40,2.111,ggnull,0,0
40,2.111,ghc,0,0
2,3.0,ggnull,0,0
2,3.0,ghc,0,0
40,2.0,ggnull,0,0
40,2.0,ghc,0,0
